ApartmentID,Timestamp,Component,Building,Floor,Unit,LocX,LocY,LocZ,RotPitch,RotYaw,RotRoll,RotXMax,RotXMin,RotYMax,RotYMin,PerpendicularAngleDeg
1-03-301,2026.09.21-11.35.52:712,ViewCameraComponent301_0,1,03,301,-10995.473,1912.541,14670.000,0.000000,141.004155,-0.000000,80.0,-80.0,40.0,-90.0,141.0
1-03-301,2026.09.21-11.35.52:712,ViewCameraComponent301_1,1,03,301,-11267.435,1269.233,14670.000,-0.000000,-173.156936,0.000000,80.0,-80.0,40.0,-90.0,186.0
1-03-301,2026.09.21-11.35.52:712,ViewCameraComponent301_2,1,03,301,-10656.090,635.084,14664.763,-0.509646,-85.000000,-0.616662,50.0,-80.0,40.0,-90.0,261.0
1-03-302,2026.09.21-11.35.52:712,ViewCameraComponent302_0,1,03,302,-9926.731,59.213,14670.000,-0.000000,-128.574376,0.000000,50.0,-80.0,40.0,-90.0,261.0
1-03-302,2026.09.21-11.35.52:712,ViewCameraComponent302_1,1,03,302,-9113.187,-476.527,14670.000,-0.000000,-95.000000,0.000000,80.0,-80.0,40.0,-90.0,276.0
1-03-302,2026.09.21-11.35.52:712,ViewCameraComponent302_2,1,03,302,-8173.933,489.613,14670.000,-0.000000,-2.503596,0.000000,50.0,-80.0,40.0,-90.0,-9.0
1-03-303,2026.09.21-11.35.52:712,ViewCameraComponent303_0,1,03,303,-7878.165,855.627,14670.000,-0.000000,-2.668402,0.000000,50.0,-80.0,40.0,-90.0,-9.0
1-03-303,2026.09.21-11.35.52:712,ViewCameraComponent303_1,1,03,303,-7366.344,1683.803,14670.000,0.000000,38.198284,-0.000000,80.0,-80.0,40.0,-90.0,6.0
1-03-303,2026.09.21-11.35.52:713,ViewCameraComponent303_2,1,03,303,-7955.610,2401.540,14670.000,0.000000,96.962881,-0.000000,80.0,-80.0,40.0,-90.0,51.0
1-03-304,2026.09.21-11.35.52:713,ViewCameraComponent304_0,1,03,304,-8683.955,2999.019,14670.000,0.000000,33.980048,-0.000000,80.0,-80.0,40.0,-90.0,51.0
1-03-304,2026.09.21-11.35.52:713,ViewCameraComponent304_1,1,03,304,-9519.951,3422.491,14670.000,0.000000,96.034482,-0.000000,80.0,-80.0,40.0,-90.0,96.0
1-03-304,2026.09.21-11.35.52:713,ViewCameraComponent304_2,1,03,304,-10403.008,2645.825,14670.000,0.000000,141.004155,-0.000000,80.0,-80.0,40.0,-90.0,141.0
2-11-1101,2026.09.21-11.35.52:719,ViewCameraLocationComponent1101_0,2,11,1101,-5193.146,-1459.303,17880.000,-0.000000,-10.074974,0.000000,100.0,-100.0,40.0,-90.0,51.0
2-11-1101,2026.09.21-11.35.52:719,ViewCameraLocationComponent1101_2,2,11,1101,-8687.391,-2472.892,17880.000,0.000000,139.387020,-0.000000,80.0,-80.0,40.0,-90.0,141.0
